env,method,tier,kind,severity,source_path,curated_path,filename
ant,imitation_off,nominal,push,0.0,videos/20260422_000426/ant/ant/seed0/eval/imitation_off/videos/cortex_residual_seed0/push_sev0p000_push0p000_d2_slip0p000_w1p000_sd0_sb0p000_ep00.mp4,videos/20260422_000426/curated/ant/imitation_off/nominal.mp4,push_sev0p000_push0p000_d2_slip0p000_w1p000_sd0_sb0p000_ep00.mp4
ant,imitation_off,moderate,slip,0.72,videos/20260422_000426/ant/ant/seed0/eval/imitation_off/videos/cortex_residual_seed0/slip_sev0p720_push0p000_d1_slip0p600_w1p200_sd40_sb0p000_ep00.mp4,videos/20260422_000426/curated/ant/imitation_off/moderate.mp4,slip_sev0p720_push0p000_d1_slip0p600_w1p200_sd40_sb0p000_ep00.mp4
ant,imitation_off,severe,push,9.6,videos/20260422_000426/ant/ant/seed0/eval/imitation_off/videos/cortex_residual_seed0/push_sev9p600_push1p600_d6_slip0p000_w1p000_sd0_sb0p000_ep00.mp4,videos/20260422_000426/curated/ant/imitation_off/severe.mp4,push_sev9p600_push1p600_d6_slip0p000_w1p000_sd0_sb0p000_ep00.mp4
ant,imitation_on,nominal,push,0.0,videos/20260422_000426/ant/ant/seed0/eval/imitation_on/videos/cortex_residual_seed0/push_sev0p000_push0p000_d2_slip0p000_w1p000_sd0_sb0p000_ep00.mp4,videos/20260422_000426/curated/ant/imitation_on/nominal.mp4,push_sev0p000_push0p000_d2_slip0p000_w1p000_sd0_sb0p000_ep00.mp4
ant,imitation_on,moderate,slip,0.72,videos/20260422_000426/ant/ant/seed0/eval/imitation_on/videos/cortex_residual_seed0/slip_sev0p720_push0p000_d1_slip0p600_w1p200_sd40_sb0p000_ep00.mp4,videos/20260422_000426/curated/ant/imitation_on/moderate.mp4,slip_sev0p720_push0p000_d1_slip0p600_w1p200_sd40_sb0p000_ep00.mp4
ant,imitation_on,severe,push,9.6,videos/20260422_000426/ant/ant/seed0/eval/imitation_on/videos/cortex_residual_seed0/push_sev9p600_push1p600_d6_slip0p000_w1p000_sd0_sb0p000_ep00.mp4,videos/20260422_000426/curated/ant/imitation_on/severe.mp4,push_sev9p600_push1p600_d6_slip0p000_w1p000_sd0_sb0p000_ep00.mp4
ant,consolidated_off,nominal,push,0.0,videos/20260422_000426/ant/ant/seed0/eval/consolidated_off/videos/cortex_residual_seed0/push_sev0p000_push0p000_d2_slip0p000_w1p000_sd0_sb0p000_ep00.mp4,videos/20260422_000426/curated/ant/consolidated_off/nominal.mp4,push_sev0p000_push0p000_d2_slip0p000_w1p000_sd0_sb0p000_ep00.mp4
ant,consolidated_off,moderate,slip,0.72,videos/20260422_000426/ant/ant/seed0/eval/consolidated_off/videos/cortex_residual_seed0/slip_sev0p720_push0p000_d1_slip0p600_w1p200_sd40_sb0p000_ep00.mp4,videos/20260422_000426/curated/ant/consolidated_off/moderate.mp4,slip_sev0p720_push0p000_d1_slip0p600_w1p200_sd40_sb0p000_ep00.mp4
ant,consolidated_off,severe,push,9.6,videos/20260422_000426/ant/ant/seed0/eval/consolidated_off/videos/cortex_residual_seed0/push_sev9p600_push1p600_d6_slip0p000_w1p000_sd0_sb0p000_ep00.mp4,videos/20260422_000426/curated/ant/consolidated_off/severe.mp4,push_sev9p600_push1p600_d6_slip0p000_w1p000_sd0_sb0p000_ep00.mp4
hopper,baseline_off,nominal,push,0.0,videos/20260422_000426/hopper/hopper/seed0/eval/baseline_off/videos/cortex_residual_seed0/push_sev0p000_push0p000_d2_slip0p000_w1p000_sd0_sb0p000_ep00.mp4,videos/20260422_000426/curated/hopper/baseline_off/nominal.mp4,push_sev0p000_push0p000_d2_slip0p000_w1p000_sd0_sb0p000_ep00.mp4
hopper,baseline_off,moderate,push,0.4,videos/20260422_000426/hopper/hopper/seed0/eval/baseline_off/videos/cortex_residual_seed0/push_sev0p400_push0p100_d4_slip0p000_w1p000_sd0_sb0p000_ep00.mp4,videos/20260422_000426/curated/hopper/baseline_off/moderate.mp4,push_sev0p400_push0p100_d4_slip0p000_w1p000_sd0_sb0p000_ep00.mp4
hopper,baseline_off,severe,push,2.0,videos/20260422_000426/hopper/hopper/seed0/eval/baseline_off/videos/cortex_residual_seed0/push_sev2p000_push0p500_d4_slip0p000_w1p000_sd0_sb0p000_ep00.mp4,videos/20260422_000426/curated/hopper/baseline_off/severe.mp4,push_sev2p000_push0p500_d4_slip0p000_w1p000_sd0_sb0p000_ep00.mp4
hopper,imitation_off,nominal,push,0.0,videos/20260422_000426/hopper/hopper/seed0/eval/imitation_off/videos/cortex_residual_seed0/push_sev0p000_push0p000_d2_slip0p000_w1p000_sd0_sb0p000_ep00.mp4,videos/20260422_000426/curated/hopper/imitation_off/nominal.mp4,push_sev0p000_push0p000_d2_slip0p000_w1p000_sd0_sb0p000_ep00.mp4
hopper,imitation_off,moderate,push,0.4,videos/20260422_000426/hopper/hopper/seed0/eval/imitation_off/videos/cortex_residual_seed0/push_sev0p400_push0p100_d4_slip0p000_w1p000_sd0_sb0p000_ep00.mp4,videos/20260422_000426/curated/hopper/imitation_off/moderate.mp4,push_sev0p400_push0p100_d4_slip0p000_w1p000_sd0_sb0p000_ep00.mp4
hopper,imitation_off,severe,push,2.0,videos/20260422_000426/hopper/hopper/seed0/eval/imitation_off/videos/cortex_residual_seed0/push_sev2p000_push0p500_d4_slip0p000_w1p000_sd0_sb0p000_ep00.mp4,videos/20260422_000426/curated/hopper/imitation_off/severe.mp4,push_sev2p000_push0p500_d4_slip0p000_w1p000_sd0_sb0p000_ep00.mp4
hopper,imitation_on,nominal,push,0.0,videos/20260422_000426/hopper/hopper/seed0/eval/imitation_on/videos/cortex_residual_seed0/push_sev0p000_push0p000_d2_slip0p000_w1p000_sd0_sb0p000_ep00.mp4,videos/20260422_000426/curated/hopper/imitation_on/nominal.mp4,push_sev0p000_push0p000_d2_slip0p000_w1p000_sd0_sb0p000_ep00.mp4
hopper,imitation_on,moderate,push,0.4,videos/20260422_000426/hopper/hopper/seed0/eval/imitation_on/videos/cortex_residual_seed0/push_sev0p400_push0p100_d4_slip0p000_w1p000_sd0_sb0p000_ep00.mp4,videos/20260422_000426/curated/hopper/imitation_on/moderate.mp4,push_sev0p400_push0p100_d4_slip0p000_w1p000_sd0_sb0p000_ep00.mp4
hopper,imitation_on,severe,push,2.0,videos/20260422_000426/hopper/hopper/seed0/eval/imitation_on/videos/cortex_residual_seed0/push_sev2p000_push0p500_d4_slip0p000_w1p000_sd0_sb0p000_ep00.mp4,videos/20260422_000426/curated/hopper/imitation_on/severe.mp4,push_sev2p000_push0p500_d4_slip0p000_w1p000_sd0_sb0p000_ep00.mp4
hopper,consolidated_off,nominal,push,0.0,videos/20260422_000426/hopper/hopper/seed0/eval/consolidated_off/videos/cortex_residual_seed0/push_sev0p000_push0p000_d2_slip0p000_w1p000_sd0_sb0p000_ep00.mp4,videos/20260422_000426/curated/hopper/consolidated_off/nominal.mp4,push_sev0p000_push0p000_d2_slip0p000_w1p000_sd0_sb0p000_ep00.mp4
hopper,consolidated_off,moderate,push,0.4,videos/20260422_000426/hopper/hopper/seed0/eval/consolidated_off/videos/cortex_residual_seed0/push_sev0p400_push0p100_d4_slip0p000_w1p000_sd0_sb0p000_ep00.mp4,videos/20260422_000426/curated/hopper/consolidated_off/moderate.mp4,push_sev0p400_push0p100_d4_slip0p000_w1p000_sd0_sb0p000_ep00.mp4
hopper,consolidated_off,severe,push,2.0,videos/20260422_000426/hopper/hopper/seed0/eval/consolidated_off/videos/cortex_residual_seed0/push_sev2p000_push0p500_d4_slip0p000_w1p000_sd0_sb0p000_ep00.mp4,videos/20260422_000426/curated/hopper/consolidated_off/severe.mp4,push_sev2p000_push0p500_d4_slip0p000_w1p000_sd0_sb0p000_ep00.mp4
