sweep_type,metric,comparison,n_seeds,mean,sem,ci_low,ci_high
push,fall,consolidated_minus_baseline,20,-0.3106597222222221,0.0905985679760471,-0.4878480902777777,-0.1459027777777777
sensor,fall,consolidated_minus_baseline,20,-0.40625,0.0533615091418405,-0.509375,-0.30625
slip,fall,consolidated_minus_baseline,20,-0.3162916666666667,0.0903670280262925,-0.4955694444444444,-0.1489989583333333
push,recovery,consolidated_minus_baseline,20,-24.601825024801588,10.963315951095003,-47.52872277095734,-6.518862289186523
sensor,recovery,consolidated_minus_baseline,20,-3.259375,2.111422434705951,-7.901045572916666,-0.1638372395833343
slip,recovery,consolidated_minus_baseline,20,0.0,0.0,0.0,0.0
push,return,consolidated_minus_baseline,20,59.21787555678024,16.3074412007771,27.4700160362431,88.71986778931198
sensor,return,consolidated_minus_baseline,20,86.35406112223863,10.848397569488844,65.22579779479655,106.57483733959496
slip,return,consolidated_minus_baseline,20,61.23160326755048,16.643870238887786,26.94830625673533,91.76623006296556
push,fall,imitation_on_minus_off,20,-0.3125347222222222,0.090780154078816,-0.4910086805555556,-0.1470798611111111
sensor,fall,imitation_on_minus_off,20,-0.446875,0.0559522455572136,-0.5532031249999999,-0.3375
slip,fall,imitation_on_minus_off,20,-0.3247638888888889,0.0923872006747783,-0.5114881944444444,-0.1553954861111112
push,recovery,imitation_on_minus_off,20,-24.429521205357144,11.143342572431424,-47.74953701016865,-5.919580295138889
sensor,recovery,imitation_on_minus_off,20,-3.19046875,2.09110104709283,-7.877114583333333,-0.1646796875000001
slip,recovery,imitation_on_minus_off,20,0.0,0.0,0.0,0.0
push,return,imitation_on_minus_off,20,58.762351449016066,16.104499803277225,27.60049524794271,88.4452989377553
sensor,return,imitation_on_minus_off,20,103.60992878079416,10.51746542253082,82.71245182629676,123.4747298535332
slip,return,imitation_on_minus_off,20,61.356862459219165,16.604929511258373,27.364353632312703,91.61127827367235
