teacher_variant,sweep_type,n_seeds,delta_auc_return_mean,delta_auc_return_sem,delta_auc_return_ci_low,delta_auc_return_ci_high,delta_auc_fall_mean,delta_auc_fall_sem,delta_auc_fall_ci_low,delta_auc_fall_ci_high,delta_auc_recovery_mean,delta_auc_recovery_sem,delta_auc_recovery_ci_low,delta_auc_recovery_ci_high
T_full,push,3,54.08606447312564,9.300449302977142,43.21658124658797,72.59313650230564,-0.2608796296296296,0.0678157781552629,-0.3854166666666666,-0.1520833333333334,-1.3938657407407415,3.788810007514363,-8.944791666666669,2.931944444444444
T_weak,push,3,-20.522625509897892,14.064889253403996,-36.61629748178856,7.504416205154513,0.1224537037037036,0.083198514915158,0.0,0.2812499999999998,-4.481365740740741,2.606734014824694,-9.567708333333332,-0.947222222222222
T_full,sensor,3,64.21223106980324,8.666224975022926,47.352888852357864,76.12504744529724,-0.4375,0.0624999999999999,-0.5625,-0.375,7.96875,7.503666638439726,0.0625,22.96875
T_weak,sensor,3,-13.109456280867258,10.656510047507483,-32.406543016433716,4.374931126832962,0.1041666666666666,0.0208333333333333,0.0625,0.125,-0.1770833333333333,0.0890000390137242,-0.28125,0.0
T_full,slip,3,111.64785945954144,12.802694179573852,93.45257825613017,136.34760700914595,-0.6080555555555556,0.2063799160603725,-1.0,-0.2999999999999999,0.0,0.0,0.0,0.0
T_weak,slip,3,-37.83186720923141,25.961997874020145,-75.09327236387466,12.116031367381453,0.3658333333333334,0.1876986601897761,0.0,0.6216666666666668,0.0,0.0,0.0,0.0
