sweep_type,method,n_seeds,return_mean,return_sem,fall_mean,fall_sem,recovery_mean,recovery_sem
push,baseline_off,20,328.32349627205065,17.112366691836062,0.3106597222222221,0.0905985679760471,24.6590832093254,10.974343425152153
push,consolidated_off,20,387.5413718288309,4.787100710731539,0.0,0.0,0.0572581845238095,0.0504685491207658
push,imitation_off,20,328.52324272761746,16.978081828074735,0.3125347222222222,0.090780154078816,24.479484250992066,11.151682801989208
push,imitation_on,20,387.2855941766335,4.876214070421355,0.0,0.0,0.0499630456349206,0.0457776258339066
sensor,baseline_off,20,302.7844400584698,10.096714961112916,0.425,0.0561951486949016,3.3362500000000006,2.104632659936021
sensor,consolidated_off,20,389.1385011807084,6.38448163725408,0.01875,0.0091811090374689,0.076875,0.04829155881495
sensor,imitation_off,20,299.25315798819065,9.87938707059615,0.453125,0.0551379475187365,3.3191145833333335,2.1065445967143903
sensor,imitation_on,20,402.8630867689848,5.677115929205293,0.00625,0.004301545010073,0.1286458333333333,0.0771680240954743
slip,baseline_off,20,325.9520776727663,16.64099274754593,0.3162916666666667,0.0903670280262925,0.0,0.0
slip,consolidated_off,20,387.1836809403168,4.515340075826983,0.0,0.0,0.0,0.0
slip,imitation_off,20,325.8122506162226,16.612247258678806,0.3247638888888889,0.0923872006747783,0.0,0.0
slip,imitation_on,20,387.1691130754417,4.599244114808143,0.0,0.0,0.0,0.0
